Unnamed: 0,Bogotá,Choachí,Tunja,Puerto Carreño,Alejandría,Popayán,Armenia,Pasto,Leticia,Ibagué,Tocancipá,Monguí,Sincelejo,Guaduas,La Palma,San Gil,Duitama,Sopó,Valledupar,Ciénaga,Socorro,Girón,Manizales,Riohacha,Buenaventura,Neiva,Armero,Itagüí,Maceo,Santa Marta
Valledupar,0.0,0.0,0.0,0.0,497.6596385538383,0.0,0.0,0.0,0.0,0.0,611.7830597898568,0.0,0.0,0.0,0.0,0.0,513.4582501767126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.44906001156164
Ciénaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.2214171993505,0.0,657.9679493162345,0.0,0.0,0.0,0.0,0.0,0.0,513.076260367917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.481544142750252
Socorro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1237.624479773112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.9092630185753,0.0,0.0,0.0,0.0
Girón,0.0,0.0,0.0,636.132618984815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.38212725063977,272.25373818247925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.45299568161124,494.31871094597443,0.0,515.3947964033525,0.0,0.0,0.0,0.0
Manizales,0.0,0.0,0.0,0.0,0.0,0.0,62.227573316096134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.737369928721,0.0,340.45299568161124,0.0,769.6078546530098,217.7120482046074,238.83717239540871,0.0,0.0,0.0,696.2167457912124
Riohacha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.9367765403866,702.0274930853285,0.0,0.0,0.0,0.0,0.0,561.4887206799038,0.0,0.0,0.0,0.0,0.0,759.347376192997,0.0,0.0,0.0
Buenaventura,0.0,0.0,0.0,0.0,0.0,168.09167857734093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.9717654027949,0.0,0.0,217.7120482046074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neiva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.3596646735957,0.0,272.71570548542365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armero,97.30827305117593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.75822262414883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.36847598223295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Itagüí,238.34235917204003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.9714257924597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.77925875222456,0.0,0.0,0.0,0.0
Maceo,0.0,238.53542593701897,0.0,0.0,0.0,0.0,0.0,651.9907396793059,1306.6357560767608,238.52848184321965,199.33050955740563,236.24673284336075,0.0,0.0,0.0,0.0,0.0,0.0,464.44596145554,0.0,0.0,0.0,0.0,588.2963986855979,0.0,0.0,0.0,0.0,0.0,0.0
Santa Marta,0.0,0.0,0.0,925.1220362417665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.38415356019098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.5354281967313,0.0,0.0,521.5462769766086,0.0
